微博id,发布者,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
I2tiOoVp2,强哥是个兵,强哥是个兵:#中国军人# 车胎怎么爆的？驾驶员回答，嘣一声就爆了，#为人民军队点赞##守护香港# 强哥是个兵的微博视频  ,无,无,2019-08-16 12:36 ,iPhone客户端,7,0,2
I2tio7G7i,余Yu冰橘WAAN,余Yu冰橘WAAN:你不喜欢做中国人，可以离开我们中国人的地方。#守护香港##中国香港# 余Yu冰橘WAAN的微博视频  ,无,无,2019-08-16 12:35 ,Android,4,0,0
I2thVcyNY,香港记录者,香港记录者:被活埋、扔水里、高压水枪喷全身，这就是中国军人！#反暴力护香港##5人涉嫌侮辱国旗被香港警方拘捕# 香港记录者的微博视频  ,无,无,2019-08-16 12:34 ,记录香港用Android,154,4,15
I2thUyRNH,榴莲牛奶的Ta,榴莲牛奶的Ta:带领刚入园的最小的豆豆们 来唱🎤显然他们一脸懵 哈哈哈哈哈国旗国旗真美丽 #香港永远是中国的一部分# 顺带艾特一下@宋茜 根正苗红的小茜 榴莲牛奶的Ta的微博视频  ,无,无,2019-08-16 12:34 ,iPhone客户端,9,0,3
I2tqC8oXD,雷希颖,雷希颖:虽然是标准国骂之一，但现在这个场景下完全不违和在澳洲的热血青年们，加油(ง •̀_•́)ง你们辛苦了，14亿人在背后撑着你们#守卫香港##我们都有一个爱豆名字叫阿中##香港青年出路指南##饭圈女孩# 雷希颖的微博视频  ,无,无,2019-08-16 12:56 ,政和白茶Android,7718,1358,1098
I2tqxq3zh,搞笑视频大奇葩,搞笑视频大奇葩:再来看下这段视频！当年的利比亚、也门、伊拉克和叙利亚反对派…都是美国曾经支持的！#5人涉嫌侮辱国旗被香港警方拘捕##驻英大使记者会播香港局势短片#    搞笑视频大奇葩的微博视频  ,无,无,2019-08-16 12:55 ,微博视频,73,20,1
I2tquaQMs,甘肃秦安万能墙,甘肃秦安万能墙:#5人涉嫌侮辱国旗被香港警方拘捕#如来神掌暴打香港废青， 看的我脸都痛！ 天水 甘肃秦安万能墙的微博视频  显示地图 ,无,#5人涉嫌侮辱国旗被香港警方拘捕#,2019-08-16 12:55 ,万能墙专属iPhone 7(亮黑),160,54,23
I2tqkoWrn,临汾本地资讯,临汾本地资讯:#驻英大使记者会播香港局势短片# 这就相当讽刺了！“港独”头目煽动罢课，他自己飞去美国读书了……网友：他去上耶鲁了，你去蹲大牢！#中国综合新闻# 临汾本地资讯的微博视频  ,无,无,2019-08-16 12:55 ,临汾资讯Android,35,3,1
I2tq6vkpL,宁海检察,宁海检察:#反暴力护香港#【#香港，我们来守护！#】香港，全球最为繁荣安定的城市之一，如今却在一些暴力示威者的破坏下不得安宁。香港警察忍辱负重，恪尽职守，始终守护着香港的安全；香港各行各业普通市民，也以他们自己的方式，默默地守护着这片他们热爱的土地。@新华网 新华网的秒拍视频  ,无,无,2019-08-16 12:54 ,360安全浏览器,3,0,0
I2tq6eGDz,你没必要一个人承担,你没必要一个人承担:#香港是中国的香港##澳洲##香港永远是中国的一部分#澳洲废青：HK stay strong  其他人：c**b   哈哈哈哈笑死了 你没必要一个人承担的微博视频  ,无,无,2019-08-16 12:54 ,Share微博客户端,36,5,0
I2tq5BYXG,李檬萌-,李檬萌-:#中国[超话]##5人涉嫌侮辱国旗被香港警方拘捕# 国外留学生大战港独，多么整齐划一的CNMB[doge]就是这样！！！刚他们！！！守护全世界最好的阿中！ 李檬萌-的微博视频  ,无,无,2019-08-16 12:54 ,中国超话,452,23,73
I2toCkfsv,扎西德勒-天珠收藏,扎西德勒-天珠收藏:#守护香港# 港独议员在记者会上哭戏没有哭出泪水，好尴尬！大家建议她用什么方法可以快速哭出来？大家帮帮她吧！要不然喜剧之王的霞姨不给她拿盒饭了。#中国一点都不能少[超话]#  扎西德勒-天珠收藏的微博视频  ,无,无,2019-08-16 12:51 ,微博视频,57,9,70
I2toximeL,何天恩,何天恩:再来看下这段视频！当年的利比亚、也门、伊拉克和叙利亚反对派…都是美国曾经支持的！#5人涉嫌侮辱国旗被香港警方拘捕##驻英大使记者会播香港局势短片# 微丢的秒拍视频  ,无,无,2019-08-16 12:50 ,微博 weibo.com,200,75,61
I2tox0H4P,邵阳共青团,邵阳共青团:【停止乱港，我哋受够咗！】 罢工，闹事，影响交通……今时今日，香港越来越多市民站出来发声，他们怒斥暴徒是“垃圾中的垃圾”、“如果觉得别的国家好，就移民去别的国家”，“把香港搞这么乱，是‘香港之耻’”！#李嘉诚发声##香港各界支持止暴制乱# 人民网的秒拍视频    ,无,无,2019-08-16 12:50 ,iPhone 6s Plus,141,38,6
I2tg4vF8p,中国新闻网,中国新闻网:【#香港133万人将免交工资税# 香港特区政府出台一系列措施纾民困】#香港特区政府将投191亿港元纾民困#15日，香港特区政府公布，受香港近期一系列暴力示威活动、中美贸易摩擦以及环球经济下行影响，香港经济衰退风险显著上升。特区政府将出台价值191亿港元的“撑企业、保就业、纾民困”措施，包括派发学生津贴、减免政府收费、免除公屋住户一个月租金等。最重要的措施是减免薪俸税等税务宽免百分比，2019年香港133万人将免交工资税。（郑兴）@中新视频 http://t.cn/AiHOq84y ,无,无,2019-08-16 12:30 ,微博 weibo.com,296,131,398
I2tfQjZTm,旅行游记伽,旅行游记伽:醉美风景在高原，来一组贡嘎雪山的延时摄影！这个云海你们喜欢吗？#稻城亚丁##驻英大使记者会播香港局势短片# 旅行游记伽的微博视频  ,无,无,2019-08-16 12:29 ,稻城亚丁Android,8,0,0
I2teXmvk2,杨紫天视,杨紫天视:#反暴力护香港# 乱港分子不小心说了实话…… 杨紫天视的微博视频  ,无,无,2019-08-16 12:27 ,小米8周年旗舰手机,66,2,2
I2teNjR2o,汴文文,汴文文:香港艺人孙耀威表态：“对于香港最近发生的事情，我感到非常痛心。香港回归祖国已超过20年，我对所有伤害香港、伤害中国的言论和行为都非常反对。希望香港早日恢复平静，香港市民可以安居乐业地生活下去！” 7维视角的微博视频  ,无,无,2019-08-16 12:26 ,iPhone客户端,8,0,0
